Net Demand 01/03/2026 ,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,00:00
Hour-ahead forecast,21099,21099,21099,21099,20979,20979,20979,20791,20791,20791,20596,20596,20596,20360,20360,20360,20111,20111,20111,19862,19862,19862,19657,19657,19657,19465,19465,19465,19268,19268,19268,19081,19081,19081,18942,18942,18942,18916,18916,18916,18840,18840,18840,18791,18791,18791,18697,18697,18697,18745,18745,18745,18755,18755,18755,18796,18796,18796,18816,18816,18816,18970,18970,18970,19100,19100,19100,19208,19208,19208,19312,19312,19312,19624,19624,19624,19827,19827,19827,20021,20021,20021,20204,20204,20204,20513,20513,20513,20625,20625,20625,20776,20776,20776,20873,20873,20873,21119,21119,21119,21053,21053,21053,21074,21074,21074,20945,20945,20945,20845,20845,20845,20647,20647,20647,20364,20364,20364,20456,20456,20456,20398,20398,20398,20506,20506,20506,20440,20440,20440,20533,20533,20533,20378,20378,20378,20006,20006,20006,20230,20230,20230,20126,20126,20126,20028,20028,20028,20291,20291,20291,20235,20235,20235,20563,20563,20563,20081,20081,20081,20501,20501,20501,20686,20686,20686,20548,20548,20548,20519,20519,20519,20557,20557,20557,20942,20942,20942,21242,21242,21242,21237,21237,21237,21502,21502,21502,22004,22004,22004,22491,22491,22491,22877,22877,22877,23275,23275,23275,23576,23576,23576,23998,23998,23998,24501,24501,24501,25089,25089,25089,25275,25275,25275,25138,25138,25138,24804,24804,24804,24548,24548,24548,24409,24409,24409,24254,24254,24254,24176,24176,24176,24144,24144,24144,24057,24057,24057,23908,23908,23908,23799,23799,23799,23604,23604,23604,23467,23467,23467,23381,23381,23381,23452,23452,23452,23351,23351,23351,23217,23217,23217,23006,23006,23006,22804,22804,22804,22551,22551,22551,22281,22281,22281,22029,22029,22029,21812,21812,21812,21526,21526,21526,21235,21235,21235,21043,21043,21043
Demand,20907,21179,21249,21251,21201,21105,20976,20914,20811,20729,20643,20517,20407,20363,20319,20268,20150,20066,19978,19914,19821,19737,19632,19545,19534,19438,19399,19352,19265,19239,19206,19149,19067,19057,19031,18995,18952,18965,18859,18836,18850,18797,18755,18731,18734,18717,18707,18694,18648,18721,18704,18756,18765,18722,18715,18751,18778,18775,18745,18774,18817,18838,19008,19016,19028,19047,19072,19139,19186,19229,19238,19283,19341,19539,19679,19714,19747,19861,19954,19946,19994,20082,20123,20171,20221,20423,20481,20521,20593,20576,20564,20579,20586,20593,20635,20698,20706,20840,20900,20919,20905,20824,20795,20769,20668,20609,20594,20603,20603,20835,20695,20645,20592,20565,20531,20583,20651,20554,20489,20573,20563,20760,20826,20991,20870,20773,20802,20692,20644,20583,20627,20765,20724,20585,20507,20566,20486,20408,20351,20278,20222,20241,20257,20388,20406,20393,20401,20363,20393,20314,20316,20521,20601,20568,20562,20621,20433,20376,20371,20388,20359,20309,20311,20349,20193,20224,20471,20615,20720,20709,20597,20703,20701,20843,20697,20760,20825,20986,21149,21135,21295,21475,21590,21554,21875,21940,22130,22270,22394,22566,22721,22646,22655,22686,22668,22764,22827,22937,23078,23318,23572,23752,23904,24037,24213,24363,24408,24487,24588,24669,24824,24747,24838,24862,24920,24856,24795,24642,24685,24625,24576,24578,24653,24554,24511,24518,24465,24447,24404,24356,24254,24236,24201,24200,24115,24061,24004,23964,23928,23910,23883,23867,23881,23828,23828,23776,23689,23674,23582,23539,23567,23522,23473,23549,23613,23548,23535,23464,23396,23325,23227,23131,23057,23005,22944,22851,22854,22798,22715,22641,22564,22456,22302,22203,22104,21973,21919,21891,21754,21668,21566,21453,21332,21243,21119,21059,20963,20874,20746
Day-ahead net forecast,19588,18669,18669,18669,18669,18669,18669,18669,18669,18669,18669,18669,18669,18003,18003,18003,18003,18003,18003,18003,18003,18003,18003,18003,18003,17344,17344,17344,17344,17344,17344,17344,17344,17344,17344,17344,17344,16996,16996,16996,16996,16996,16996,16996,16996,16996,16996,16996,16996,17108,17108,17108,17108,17108,17108,17108,17108,17108,17108,17108,17108,17684,17684,17684,17684,17684,17684,17684,17684,17684,17684,17684,17684,18595,18595,18595,18595,18595,18595,18595,18595,18595,18595,18595,18595,18166,18166,18166,18166,18166,18166,18166,18166,18166,18166,18166,18166,16022,16022,16022,16022,16022,16022,16022,16022,16022,16022,16022,16022,14763,14763,14763,14763,14763,14763,14763,14763,14763,14763,14763,14763,14084,14084,14084,14084,14084,14084,14084,14084,14084,14084,14084,14084,13476,13476,13476,13476,13476,13476,13476,13476,13476,13476,13476,13476,12974,12974,12974,12974,12974,12974,12974,12974,12974,12974,12974,12974,12732,12732,12732,12732,12732,12732,12732,12732,12732,12732,12732,12732,13169,13169,13169,13169,13169,13169,13169,13169,13169,13169,13169,13169,15942,15942,15942,15942,15942,15942,15942,15942,15942,15942,15942,15942,20072,20072,20072,20072,20072,20072,20072,20072,20072,20072,20072,20072,22319,22319,22319,22319,22319,22319,22319,22319,22319,22319,22319,22319,22258,22258,22258,22258,22258,22258,22258,22258,22258,22258,22258,22258,21732,21732,21732,21732,21732,21732,21732,21732,21732,21732,21732,21732,21192,21192,21192,21192,21192,21192,21192,21192,21192,21192,21192,21192,20691,20691,20691,20691,20691,20691,20691,20691,20691,20691,20691,20691,19704,19704,19704,19704,19704,19704,19704,19704,19704,19704,19704,19704,18614,18614,18614,18614,18614,18614,18614,18614,18614,18614,18614,18614
Demand response event,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net demand,18777,18891,19114,19108,19053,18967,18770,18647,18554,18496,18428,18314,18180,18097,18089,18075,18032,17968,17912,17772,17664,17617,17508,17434,17417,17374,17355,17346,17297,17313,17276,17280,17159,17130,17135,17118,17156,17123,17062,17031,17023,16989,16976,16975,16983,17002,16999,17003,16974,17018,17052,17138,17190,17180,17167,17184,17244,17270,17229,17226,17209,17212,17363,17378,17366,17436,17465,17546,17618,17726,17756,17822,17874,18045,18235,18285,18323,18376,18484,18513,18525,18537,18576,18549,18554,18750,18862,18855,18824,18843,18754,18695,18633,18641,18657,18478,18299,18210,18188,17969,18031,17898,17818,17670,17730,17689,17647,17446,17164,17161,16756,16452,16000,15718,15457,15661,15958,16016,15907,15668,15759,15716,15718,15411,15204,15075,15147,15102,15155,14916,14768,14635,14571,14343,14213,14277,13846,13756,13621,13649,13569,13623,13536,13457,13532,13599,13406,13431,13593,13812,13628,13811,13798,13532,13479,13348,13105,12810,12723,12410,12090,12085,12118,12959,13165,13351,13665,13850,13840,13871,13845,13726,13701,13654,13913,14297,14517,14495,14342,13994,14052,14658,15175,15831,16653,17226,17744,18206,18648,18927,19288,19701,19907,20168,20195,20465,20709,20890,21093,21326,21689,21988,22229,22366,22535,22766,22745,22840,22917,23034,23160,23133,23205,23221,23232,23214,23163,22943,22954,22893,22792,22701,22738,22705,22722,22718,22815,22689,22725,22675,22612,22592,22563,22543,22472,22401,22307,22286,22271,22208,22166,22073,22061,22013,22031,21994,21924,21785,21692,21573,21568,21519,21413,21410,21544,21537,21463,21363,21246,21193,21103,21009,20908,20820,20742,20669,20650,20685,20706,20645,20582,20477,20304,20208,20054,19914,19809,19795,19647,19504,19362,19165,19006,18950,18836,18718,18619,18514,18363
Solar without hybrids,-17,-17,-17,-17,-17,-17,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-19,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-19,-18,-19,-19,-19,-19,-19,-19,-19,-19,-19,-18,-14,-8,9,33,57,76,123,229,352,474,612,749,917,1079,1144,1106,1360,1594,1828,2019,2328,2347,2363,2541,2718,2663,2564,2598,2854,3098,3338,3653,3993,4363,4620,4868,4695,4585,4437,4373,4551,4490,4622,4786,5176,5359,5375,5334,5348,5251,5420,5593,5829,5917,6016,5910,5961,6134,6210,6160,6183,6193,6109,6161,6361,6259,6178,6366,6268,6063,5856,5984,5988,6089,6381,6396,6572,6562,6639,6647,6817,6869,6808,6615,6111,6091,6049,5859,5830,6065,6105,5952,6020,5909,6168,5629,5337,5172,5251,5503,5939,5803,5321,4917,4176,3613,3154,2791,2485,2206,2090,1925,1528,1284,1094,955,808,654,473,336,246,170,96,38,8,-39,-70,-76,-75,-73,-70,-69,-66,-66,-66,-65,-65,-66,-63,-61,-60,-60,-61,-60,-60,-60,-59,-59,-59,-58,-59,-59,-59,-59,-59,-59,-59,-59,-59,-59,-59,-59,-59,-58,-58,-58,-58,-58,-58,-58,-58,-58,-58,-58,-58,-58,-58,-58,-58,-58,-58,-59,-58,-59,-59,-59,-59,-59,-60,-59,-59,-59,-60,-60,-59,-59,-59,-58,-60,-59,-60,-60,-60,-60,-60,-60,-60,-60,-60
Wind without hybrids,2171,2172,2159,2167,2176,2199,2263,2314,2309,2277,2266,2269,2283,2289,2270,2238,2185,2129,2130,2186,2198,2179,2166,2152,2136,2100,2069,2046,2007,1962,1938,1923,1939,1938,1926,1892,1868,1857,1846,1831,1837,1834,1809,1773,1758,1739,1723,1711,1697,1694,1662,1619,1587,1566,1564,1557,1545,1529,1536,1551,1574,1608,1640,1660,1659,1620,1603,1588,1562,1504,1479,1463,1440,1423,1429,1424,1435,1460,1447,1440,1457,1487,1528,1549,1543,1486,1433,1374,1322,1246,1171,1125,1059,1001,966,947,912,866,806,760,740,730,721,697,675,666,649,635,640,651,630,597,591,579,569,572,573,610,637,669,707,733,754,821,844,817,776,755,756,768,773,782,838,849,886,921,1010,1026,1035,1005,966,946,939,976,1018,1036,1048,1074,1106,1102,1115,1083,1090,1060,1069,1130,1223,1353,1475,1638,1777,1905,1900,1722,1397,1260,1274,1248,1300,1356,1473,1558,1613,1666,1661,1646,1639,1675,1730,1790,1795,1799,1811,1797,1782,1744,1714,1660,1629,1603,1579,1551,1530,1519,1491,1479,1489,1539,1607,1653,1625,1602,1598,1608,1638,1629,1671,1701,1679,1665,1664,1680,1694,1695,1701,1724,1743,1784,1805,1820,1850,1920,1955,1943,1870,1822,1811,1785,1758,1752,1735,1719,1715,1713,1727,1749,1760,1746,1738,1760,1808,1846,1877,1885,1860,1850,1876,1938,1998,2036,2047,2089,2130,2147,2113,2082,2144,2184,2223,2223,2212,2216,2236,2272,2274,2265,2251,2192,2106,2071,2077,2091,2088,2105,2148,2155,2183,2187,2201,2247,2331,2394,2408,2398,2394,2419,2425,2461
