Net Demand 08/15/2025 ,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,00:00
Hour-ahead forecast,27577,27577,27577,27577,27371,27371,27371,26965,26965,26965,26555,26555,26555,26202,26202,26202,25864,25864,25864,25511,25511,25511,25144,25144,25144,24832,24832,24832,24604,24604,24604,24388,24388,24388,24195,24195,24195,24050,24050,24050,23897,23897,23897,23757,23757,23757,23693,23693,23693,23746,23746,23746,23799,23799,23799,23834,23834,23834,23932,23932,23932,24300,24300,24300,24575,24575,24575,24836,24836,24836,25060,25060,25060,25602,25602,25602,25827,25827,25827,26057,26057,26057,26229,26229,26229,26587,26587,26587,26788,26788,26788,26721,26721,26721,26466,26466,26466,26413,26413,26413,26492,26492,26492,26460,26460,26460,26253,26253,26253,26088,26088,26088,25894,25894,25894,25762,25762,25762,25535,25535,25535,25232,25232,25232,25024,25024,25024,25002,25002,25002,24948,24948,24948,24836,24836,24836,24686,24686,24686,24638,24638,24638,24890,24890,24890,24899,24899,24899,25081,25081,25081,25265,25265,25265,25685,25685,25685,25822,25822,25822,25980,25980,25980,26297,26297,26297,26859,26859,26859,27313,27313,27313,27896,27896,27896,28284,28284,28284,28886,28886,28886,29324,29324,29324,29749,29749,29749,30100,30100,30100,30682,30682,30682,30889,30889,30889,31383,31383,31383,32171,32171,32171,32652,32652,32652,32884,32884,32884,33282,33282,33282,33767,33767,33767,34022,34022,34022,34104,34104,34104,34303,34303,34303,34502,34502,34502,34560,34560,34560,34307,34307,34307,34130,34130,34130,33937,33937,33937,33435,33435,33435,33437,33437,33437,33239,33239,33239,32866,32866,32866,32749,32749,32749,32581,32581,32581,32317,32317,32317,31754,31754,31754,31343,31343,31343,30847,30847,30847,30479,30479,30479,29959,29959,29959,29325,29325,29325,28830,28830,28830,28381,28381,28381,27982,27982,27982,27684,27684,27684
Demand,27419,27675,27733,27614,27548,27369,27253,27113,26980,26860,26688,26550,26394,26283,26188,26067,25930,25799,25725,25634,25511,25371,25297,25218,25047,24990,24952,24869,24775,24656,24595,24492,24412,24355,24264,24189,24146,24180,24043,24019,23980,23900,23839,23797,23745,23725,23701,23671,23581,23717,23827,23861,23881,23881,23903,23924,23961,23974,23976,24039,24105,24243,24419,24487,24564,24634,24688,24791,24859,24984,25102,25180,25257,25569,25797,25924,25987,25970,25974,26131,26192,26235,26268,26312,26340,26516,26671,26680,26690,26613,26611,26648,26629,26764,26634,26577,26576,26668,26801,26770,26704,26637,26554,26525,26567,26479,26444,26406,26374,26560,26242,26114,25963,25907,25849,25751,25677,25680,25649,25554,25559,25770,25442,25414,25380,25290,25206,25127,25060,25001,24830,24875,24915,25097,24910,24827,24841,24882,24921,24859,24862,24928,24981,24857,25031,25230,25200,25105,25109,25185,25113,25148,25159,25221,25311,25352,25452,25740,25775,25891,25997,26100,26226,26470,26560,26672,26833,26956,27091,27266,27495,27634,27756,27893,28044,28242,28088,28296,28496,28508,28777,28894,29133,29286,29633,29587,29750,30003,30144,30393,30806,30868,31188,31080,30946,31049,31279,31516,31867,31992,32066,32315,32574,32735,32857,32776,32835,33059,33236,33363,33550,33634,33801,33965,34132,34255,34373,34286,34200,34332,34480,34559,34640,34646,34680,34734,34751,34760,34750,34308,33994,33959,33938,33863,33845,33756,33535,33458,33378,33379,33313,33595,33586,33559,33484,33392,33292,33196,33047,32958,32688,32546,32376,32516,32590,32504,32400,32283,32135,32086,32034,31833,31672,31531,31351,31121,30939,30727,30592,30396,30264,30080,29909,29736,29588,29401,29250,29184,29108,28915,28773,28617,28445,28264,28096,27904,27706,27551,27380
Day-ahead net forecast,23622,22055,22055,22055,22055,22055,22055,22055,22055,22055,22055,22055,22055,20713,20713,20713,20713,20713,20713,20713,20713,20713,20713,20713,20713,19736,19736,19736,19736,19736,19736,19736,19736,19736,19736,19736,19736,19367,19367,19367,19367,19367,19367,19367,19367,19367,19367,19367,19367,19858,19858,19858,19858,19858,19858,19858,19858,19858,19858,19858,19858,21099,21099,21099,21099,21099,21099,21099,21099,21099,21099,21099,21099,20987,20987,20987,20987,20987,20987,20987,20987,20987,20987,20987,20987,15138,15138,15138,15138,15138,15138,15138,15138,15138,15138,15138,15138,8812,8812,8812,8812,8812,8812,8812,8812,8812,8812,8812,8812,5913,5913,5913,5913,5913,5913,5913,5913,5913,5913,5913,5913,4633,4633,4633,4633,4633,4633,4633,4633,4633,4633,4633,4633,4083,4083,4083,4083,4083,4083,4083,4083,4083,4083,4083,4083,4348,4348,4348,4348,4348,4348,4348,4348,4348,4348,4348,4348,5402,5402,5402,5402,5402,5402,5402,5402,5402,5402,5402,5402,6916,6916,6916,6916,6916,6916,6916,6916,6916,6916,6916,6916,8981,8981,8981,8981,8981,8981,8981,8981,8981,8981,8981,8981,11162,11162,11162,11162,11162,11162,11162,11162,11162,11162,11162,11162,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,24128,24128,24128,24128,24128,24128,24128,24128,24128,24128,24128,24128,29209,29209,29209,29209,29209,29209,29209,29209,29209,29209,29209,29209,29128,29128,29128,29128,29128,29128,29128,29128,29128,29128,29128,29128,27807,27807,27807,27807,27807,27807,27807,27807,27807,27807,27807,27807,25852,25852,25852,25852,25852,25852,25852,25852,25852,25852,25852,25852,23846,23846,23846,23846,23846,23846,23846,23846,23846,23846,23846,23846
Demand response event,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net demand,22073,22125,22374,22227,22084,21938,21780,21662,21491,21403,21231,21145,21026,20909,20838,20688,20578,20483,20435,20395,20325,20192,20056,20013,19912,19911,19943,19915,19880,19780,19727,19675,19610,19589,19504,19463,19467,19494,19486,19480,19527,19486,19463,19431,19443,19475,19477,19496,19509,19536,19735,19809,19869,19952,20024,20114,20198,20290,20291,20406,20531,20677,20927,21083,21242,21361,21520,21611,21761,21889,22042,22213,22293,22484,22773,22952,22998,22910,22763,22576,22360,21901,21435,20924,20314,19669,19131,18386,17622,16856,15971,15208,14378,13714,12961,12261,11618,11094,10519,10180,9651,9346,8995,8647,8464,8243,8109,7892,7663,7637,7172,7021,6769,6638,6613,6445,6255,6197,6281,6139,6043,6155,5851,5719,5650,5595,5479,5321,5276,5223,5072,5050,5061,5233,4988,4969,4891,4930,4933,4840,4833,4843,4791,4770,4700,5050,5038,5035,4904,4875,4846,4807,4910,5076,5233,5275,5264,5563,5379,5467,5520,5528,5674,6118,6344,6289,6344,6551,6620,6753,6978,7106,7421,7492,7701,7840,7695,7754,7923,8060,8210,8297,8350,8437,8486,8553,8619,8904,8937,8961,9263,9645,9820,9952,9601,10011,10520,10851,10909,11102,11306,11755,11938,12240,12497,12742,12876,13271,13739,14388,14770,15281,15930,16569,17301,17889,18624,19303,19831,20633,21497,22276,23102,23927,24705,25472,26125,26774,27443,27777,27772,28094,28411,28605,28757,28822,28988,28929,28910,28918,28902,29074,29239,29235,29166,29094,29006,28923,28804,28620,28514,28339,28143,28106,28301,28140,28028,27883,27759,27595,27566,27381,27183,27033,26858,26585,26392,26129,25939,25707,25550,25382,25157,24971,24796,24679,24557,24481,24440,24278,24113,23961,23796,23648,23460,23340,23132,23032,22883
Solar without hybrids,-56,-55,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,-57,-57,-57,-57,-57,-57,-57,-57,-57,-57,-57,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,-57,-56,-57,-58,-57,-57,-57,-57,-57,-57,-57,-57,-57,-57,-56,-56,-56,-56,-56,-56,-57,-57,-57,-57,-57,-57,-56,-57,-57,-57,-57,-57,-57,-57,-57,-57,-58,-57,-55,-48,-18,38,162,351,648,1011,1491,2053,2678,3377,4166,4954,5730,6551,7383,8235,9097,9939,10740,11549,12148,12718,13350,13987,14434,14798,15127,15388,15701,15990,16175,16280,16487,16694,16975,17123,17258,17395,17513,17537,17666,17848,17904,17871,17968,18035,18239,18320,18426,18476,18556,18625,18738,18776,18828,18860,18853,18882,18933,18962,18980,19001,19025,19003,19038,19026,19015,19063,19058,19110,19033,19017,18973,19017,19009,19011,18994,19011,18968,18935,18961,18948,18919,18965,18914,18944,18991,18919,18715,18613,18768,18770,18703,18692,18659,18636,18598,18403,18333,18311,18316,18259,18222,18157,18073,18084,17972,17952,17926,17997,17880,17753,17589,17581,17785,17723,17527,17496,17513,17398,17050,16790,16573,16755,16814,16558,16316,16397,16257,16137,15880,15683,15489,15212,14858,14506,14101,13587,13056,12524,11976,11362,10633,9948,9226,8517,7780,7085,6263,5456,4711,4065,3407,2787,2186,1723,1329,1038,801,640,469,206,120,92,76,74,73,73,74,76,77,78,79,80,79,-31,-63,-63,-63,-64,-64,-63,-62,-62,-62,-61,-60,-59,-59,-59,-58,-57,-57,-57,-57,-57,-57,-57,-57,-57,-57,-56,-57,-58,-58,-58,-58,-58,-58,-58,-58,-58,-58
Wind without hybrids,5467,5473,5466,5505,5519,5559,5575,5565,5576,5583,5561,5518,5499,5466,5457,5472,5474,5425,5375,5333,5287,5297,5321,5297,5247,5152,5086,5044,4987,4968,4958,4921,4887,4853,4842,4796,4761,4728,4658,4600,4532,4501,4468,4429,4378,4314,4284,4241,4198,4155,4111,4098,4047,3979,3924,3848,3798,3746,3718,3662,3597,3543,3488,3418,3360,3288,3238,3183,3134,3091,3048,2998,3006,2995,2993,2965,2932,2904,2876,2863,2855,2835,2808,2744,2664,2633,2609,2584,2568,2441,2417,2379,2343,2301,2259,2232,2227,2233,2241,2247,2255,2228,2192,2159,2141,2100,2081,2050,2024,2020,1983,1901,1850,1794,1730,1685,1613,1567,1523,1485,1459,1405,1357,1288,1246,1175,1165,1101,1033,987,955,941,950,947,954,917,902,925,964,1001,1003,1037,1057,1062,1124,1133,1104,1133,1180,1270,1306,1318,1236,1139,1084,1101,1163,1230,1328,1458,1524,1543,1551,1548,1576,1607,1627,1656,1706,1766,1795,1868,1907,1987,2018,2075,2141,2237,2281,2340,2419,2562,2703,2858,3038,3159,3294,3425,3503,3579,3638,3650,3701,3777,3844,3914,3918,3971,4046,4079,4114,4133,4136,4173,4151,4173,4177,4229,4151,4101,4131,4166,4192,4248,4267,4305,4316,4356,4371,4383,4371,4412,4383,4399,4446,4457,4487,4513,4523,4536,4550,4531,4515,4483,4472,4455,4465,4446,4404,4388,4382,4325,4296,4280,4261,4257,4246,4238,4254,4296,4326,4326,4359,4373,4404,4448,4501,4521,4505,4554,4586,4591,4593,4618,4645,4676,4698,4728,4780,4820,4827,4837,4869,4887,4891,4856,4809,4781,4789,4783,4767,4770,4765,4750,4730,4723,4691,4651
