Net Demand 11/17/2025 ,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,00:00
Hour-ahead forecast,19972,19972,19972,19972,19960,19960,19960,19819,19819,19819,19633,19633,19633,19371,19371,19371,19214,19214,19214,19081,19081,19081,18978,18978,18978,18940,18940,18940,18862,18862,18862,18760,18760,18760,18700,18700,18700,18724,18724,18724,18712,18712,18712,18688,18688,18688,18691,18691,18691,18894,18894,18894,19059,19059,19059,19214,19214,19214,19354,19354,19354,19842,19842,19842,20134,20134,20134,20470,20470,20470,20732,20732,20732,21427,21427,21427,21932,21932,21932,22359,22359,22359,22733,22733,22733,23371,23371,23371,23678,23678,23678,23646,23646,23646,23478,23478,23478,23382,23382,23382,23290,23290,23290,23237,23237,23237,23569,23569,23569,23354,23354,23354,23291,23291,23291,23097,23097,23097,22782,22782,22782,22757,22757,22757,22673,22673,22673,22249,22249,22249,21933,21933,21933,22142,22142,22142,21973,21973,21973,22177,22177,22177,22447,22447,22447,22538,22538,22538,22398,22398,22398,22334,22334,22334,22324,22324,22324,22639,22639,22639,22763,22763,22763,22965,22965,22965,22914,22914,22914,23070,23070,23070,23300,23300,23300,23372,23372,23372,23392,23392,23392,23738,23738,23738,24083,24083,24083,24624,24624,24624,24972,24972,24972,25107,25107,25107,25415,25415,25415,25786,25786,25786,26100,26100,26100,26490,26490,26490,26829,26829,26829,26942,26942,26942,26874,26874,26874,26508,26508,26508,26349,26349,26349,26324,26324,26324,26346,26346,26346,26097,26097,26097,25954,25954,25954,25789,25789,25789,25657,25657,25657,25534,25534,25534,25353,25353,25353,25178,25178,25178,24886,24886,24886,24891,24891,24891,24678,24678,24678,24384,24384,24384,24026,24026,24026,23715,23715,23715,23331,23331,23331,22892,22892,22892,22404,22404,22404,22081,22081,22081,21815,21815,21815,21559,21559,21559,21218,21218,21218
Demand,19790,20230,20060,20036,20010,19942,19889,19818,19724,19660,19618,19533,19478,19605,19503,19454,19431,19400,19357,19318,19266,19205,19163,19120,19038,18982,19050,19044,18974,18908,18872,18823,18790,18750,18729,18703,18643,18618,18697,18706,18657,18631,18584,18668,18637,18625,18659,18687,18671,18767,18814,18883,18940,18988,18995,19026,19026,19205,19235,19284,19271,19517,19658,19751,19892,19926,20069,20217,20388,20509,20640,20794,20952,21249,21608,21840,22042,22141,22291,22433,22549,22640,22690,22726,22803,23013,23209,23222,23214,23234,23313,23294,23250,23205,23190,23156,23250,23641,23737,23586,23529,23581,23572,23492,23505,23535,23452,23367,23290,23109,23217,23079,23025,22933,22990,22844,22861,22775,22604,22576,22703,22562,22486,22571,22466,22376,22440,22367,22469,22373,22334,22380,22272,22429,22461,22318,22344,22313,22270,22323,22244,22213,22271,22277,22507,22380,22403,22384,22460,22638,22616,22565,22595,22587,22633,22626,22684,22727,22553,22729,22856,22685,22662,22721,22800,23028,23019,22829,22723,22832,22992,23125,23096,23201,23209,23263,23422,23601,23748,23916,23934,24008,23991,24057,24251,24367,24423,24532,24608,24747,24890,24962,25065,24811,24900,24895,25006,25175,25319,25480,25631,25803,25971,26141,26288,26416,26491,26550,26657,26689,26790,26699,26774,26754,26786,26798,26778,26706,26646,26619,26599,26506,26487,26440,26370,26354,26290,26234,26214,26091,26026,25969,25931,25879,25860,25814,25813,25789,25789,25736,25667,25639,25539,25482,25443,25384,25317,25203,25117,25029,24980,24880,24729,24881,24854,24790,24732,24657,24569,24367,24314,24176,24053,23919,23781,23670,23537,23426,23363,23188,23019,22874,22807,22663,22523,22399,22256,22103,22061,21875,21748,21659,21555,21417,21320,21219,21125,20984,20868
Day-ahead net forecast,17664,17004,17004,17004,17004,17004,17004,17004,17004,17004,17004,17004,17004,16426,16426,16426,16426,16426,16426,16426,16426,16426,16426,16426,16426,16012,16012,16012,16012,16012,16012,16012,16012,16012,16012,16012,16012,16017,16017,16017,16017,16017,16017,16017,16017,16017,16017,16017,16017,16685,16685,16685,16685,16685,16685,16685,16685,16685,16685,16685,16685,18112,18112,18112,18112,18112,18112,18112,18112,18112,18112,18112,18112,19547,19547,19547,19547,19547,19547,19547,19547,19547,19547,19547,19547,17953,17953,17953,17953,17953,17953,17953,17953,17953,17953,17953,17953,14841,14841,14841,14841,14841,14841,14841,14841,14841,14841,14841,14841,13074,13074,13074,13074,13074,13074,13074,13074,13074,13074,13074,13074,12344,12344,12344,12344,12344,12344,12344,12344,12344,12344,12344,12344,11958,11958,11958,11958,11958,11958,11958,11958,11958,11958,11958,11958,12095,12095,12095,12095,12095,12095,12095,12095,12095,12095,12095,12095,12875,12875,12875,12875,12875,12875,12875,12875,12875,12875,12875,12875,15011,15011,15011,15011,15011,15011,15011,15011,15011,15011,15011,15011,18948,18948,18948,18948,18948,18948,18948,18948,18948,18948,18948,18948,22798,22798,22798,22798,22798,22798,22798,22798,22798,22798,22798,22798,24559,24559,24559,24559,24559,24559,24559,24559,24559,24559,24559,24559,24311,24311,24311,24311,24311,24311,24311,24311,24311,24311,24311,24311,23813,23813,23813,23813,23813,23813,23813,23813,23813,23813,23813,23813,23375,23375,23375,23375,23375,23375,23375,23375,23375,23375,23375,23375,22671,22671,22671,22671,22671,22671,22671,22671,22671,22671,22671,22671,21240,21240,21240,21240,21240,21240,21240,21240,21240,21240,21240,21240,19874,19874,19874,19874,19874,19874,19874,19874,19874,19874,19874,19874
Demand response event,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net demand,16829,17204,17240,17147,17210,17196,17114,17086,16992,16921,16892,16855,16901,17036,17117,17079,17156,17116,17110,17073,16969,16827,16723,16731,16670,16600,16679,16699,16646,16570,16530,16457,16403,16309,16308,16263,16235,16129,16180,16179,16166,16086,16024,15990,15910,15848,15868,15911,15884,15928,15979,16013,16032,16115,16160,16183,16227,16335,16413,16509,16505,16691,16940,17098,17199,17286,17455,17563,17745,17876,18006,18164,18365,18608,18955,19247,19460,19580,19625,19641,19698,19588,19338,19090,18929,18654,18650,18517,18273,18164,17754,17345,17073,16731,16366,15841,15595,15737,15553,15622,15407,15458,15441,15279,15129,14968,14751,14470,13869,13416,13208,13096,12761,12492,12363,12180,12056,11882,11643,11813,11974,12236,12345,12093,11813,11733,11886,12114,12484,12107,12197,12280,12578,12643,12797,12697,12383,12075,12226,11969,11468,11510,11777,11519,11466,11453,11348,11152,11233,11178,10854,10822,11067,11388,11627,11959,11942,11875,12359,12378,12477,12839,13155,13555,13506,13340,13507,13508,13527,13886,14337,14574,14772,14993,15214,15523,16228,16849,16933,17376,17671,18257,18695,18915,19349,19648,19995,20518,20850,21186,21541,21837,22096,22129,22261,22507,22701,22952,23158,23367,23551,23730,23906,24066,24164,24310,24373,24419,24477,24535,24555,24559,24500,24535,24586,24644,24627,24553,24383,24344,24297,24217,24159,24143,24051,23870,23682,23606,23569,23605,23434,23378,23373,23369,23450,23514,23621,23678,23743,23822,23810,23861,23784,23764,23743,23691,23709,23622,23584,23544,23528,23493,23411,23406,23514,23484,23433,23326,23252,23022,22902,22751,22627,22439,22231,22040,21937,21800,21660,21436,21210,21035,20958,20782,20576,20392,20217,19991,19979,19810,19753,19690,19659,19546,19473,19391,19323,19258,19180
Solar without hybrids,-51,-51,-50,-50,-50,-50,-50,-50,-51,-51,-51,-51,-51,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-53,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-53,-53,-53,-53,-53,-53,-53,-51,-52,-51,-51,-51,-51,-51,-52,-52,-53,-53,-53,-52,-52,-51,-52,-52,-53,-53,-53,-52,-52,-52,-51,-50,-50,-41,-24,13,99,247,384,606,900,1212,1489,1908,2323,2666,2950,3154,3586,4057,4447,4815,5225,5749,6023,6290,6674,6520,6598,6641,6638,6575,6749,6940,7045,7403,7873,8193,8515,8466,8519,8629,8805,8798,8757,9090,9139,8858,8774,8576,8357,8677,8962,8819,8732,8448,8230,8566,8354,8240,7973,7948,7934,7928,8142,8365,8165,8365,8737,8520,8357,8570,8801,8690,8785,8899,8986,9358,9671,9642,9271,9069,8886,8661,8730,8857,8415,8354,8296,7917,7503,7176,7397,7676,7678,7456,7251,6859,6636,6645,6434,6210,5957,5608,5057,4694,4618,4298,4190,3598,3253,3121,2935,2855,2580,2241,1968,1712,1498,1291,1100,878,669,447,276,161,73,12,-29,-43,-55,-59,-54,-47,-43,-40,-37,-34,-33,-31,-31,-32,-31,-30,-30,-33,-31,-31,-31,-32,-32,-34,-36,-38,-40,-41,-41,-40,-39,-39,-38,-39,-41,-42,-42,-42,-41,-40,-40,-40,-41,-42,-42,-42,-42,-43,-43,-43,-43,-43,-43,-41,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-43,-43,-43,-43,-43,-43,-43,-43,-43,-43,-43,-42,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41
Wind without hybrids,2973,2958,2932,2917,2878,2832,2813,2822,2799,2805,2809,2745,2643,2563,2478,2418,2359,2331,2322,2310,2364,2449,2492,2468,2442,2417,2412,2400,2402,2410,2413,2428,2464,2500,2494,2498,2488,2520,2557,2566,2586,2598,2633,2700,2788,2831,2823,2829,2823,2836,2860,2897,2921,2899,2886,2873,2838,2867,2832,2823,2805,2769,2716,2670,2656,2655,2632,2636,2631,2631,2637,2608,2565,2548,2551,2551,2538,2515,2519,2496,2483,2497,2518,2541,2564,2565,2467,2390,2383,2277,2258,2246,2244,2243,2241,2276,2293,2267,2235,2255,2225,2094,2173,2222,2265,2252,2253,2151,2217,2200,2152,2210,2338,2474,2537,2575,2571,2540,2526,2493,2522,2512,2510,2499,2521,2508,2507,2501,2476,2448,2421,2395,2410,2364,2325,2334,2358,2399,2531,2622,2657,2712,2738,2730,2757,2828,2873,2884,2793,2753,2701,2714,2627,2538,2475,2438,2382,2393,2380,2359,2339,2333,2304,2297,2262,2280,2289,2298,2286,2302,2281,2244,2227,2230,2249,2269,2233,2209,2269,2286,2269,2227,2151,2105,2065,2019,1955,1916,1902,1871,1854,1874,1880,1885,1921,1956,1966,1996,2026,2047,2038,2056,2053,2070,2106,2117,2109,2147,2161,2181,2188,2206,2249,2252,2198,2183,2188,2214,2291,2322,2345,2345,2343,2359,2394,2522,2672,2695,2645,2584,2621,2634,2612,2571,2454,2325,2222,2145,2072,1973,1907,1836,1798,1784,1755,1743,1694,1651,1613,1558,1505,1465,1444,1425,1396,1376,1368,1387,1411,1454,1481,1512,1524,1564,1649,1696,1718,1703,1785,1878,1916,1913,1931,1978,2041,2097,2142,2183,2174,2140,2088,2027,1981,1958,1917,1902,1860,1817
