Net Demand 06/12/2025 ,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,00:00
Hour-ahead forecast,25747,25747,25747,25747,25537,25537,25537,25198,25198,25198,24670,24670,24670,24530,24530,24530,24202,24202,24202,23914,23914,23914,23678,23678,23678,23382,23382,23382,23111,23111,23111,22948,22948,22948,22755,22755,22755,22691,22691,22691,22564,22564,22564,22496,22496,22496,22438,22438,22438,22529,22529,22529,22606,22606,22606,22679,22679,22679,22778,22778,22778,23118,23118,23118,23379,23379,23379,23560,23560,23560,23636,23636,23636,24080,24080,24080,24319,24319,24319,24510,24510,24510,24447,24447,24447,24703,24703,24703,24702,24702,24702,24601,24601,24601,24182,24182,24182,24461,24461,24461,24305,24305,24305,23981,23981,23981,23750,23750,23750,23624,23624,23624,23285,23285,23285,23003,23003,23003,22759,22759,22759,22601,22601,22601,22267,22267,22267,21992,21992,21992,21653,21653,21653,21575,21575,21575,21335,21335,21335,21206,21206,21206,21076,21076,21076,20993,20993,20993,20801,20801,20801,20743,20743,20743,20808,20808,20808,20818,20818,20818,21012,21012,21012,21395,21395,21395,21605,21605,21605,21904,21904,21904,22296,22296,22296,22773,22773,22773,23141,23141,23141,23651,23651,23651,24087,24087,24087,24528,24528,24528,25121,25121,25121,25310,25310,25310,25863,25863,25863,26569,26569,26569,27108,27108,27108,27384,27384,27384,27745,27745,27745,28256,28256,28256,28759,28759,28759,28906,28906,28906,29500,29500,29500,29893,29893,29893,30252,30252,30252,30173,30173,30173,30311,30311,30311,30332,30332,30332,30382,30382,30382,30347,30347,30347,30320,30320,30320,30251,30251,30251,30126,30126,30126,30222,30222,30222,30016,30016,30016,29643,29643,29643,29168,29168,29168,28723,28723,28723,28242,28242,28242,27719,27719,27719,27297,27297,27297,26930,26930,26930,26485,26485,26485,26067,26067,26067,25696,25696,25696
Demand,25503,25529,25836,25658,25579,25499,25319,25171,25043,24904,24772,24659,24565,24545,24656,24510,24393,24300,24229,24096,24016,23938,23838,23748,23633,23510,23419,23344,23250,23171,23075,23004,22961,22933,22849,22800,22755,22790,22735,22679,22664,22587,22520,22520,22484,22456,22417,22415,22408,22463,22576,22580,22567,22600,22638,22661,22722,22713,22713,22768,22894,23059,23294,23383,23428,23494,23526,23602,23658,23671,23630,23632,23646,23790,23890,23945,24025,24078,24112,24176,24230,24229,24231,24369,24360,24221,24644,24546,24586,24786,24765,24629,24665,24561,24433,24381,24333,24424,24519,24537,24437,24341,24316,24121,24050,24030,23964,23772,23764,23781,23813,23696,23648,23541,23457,23292,23201,23033,22866,22852,22745,22533,22456,22320,22248,22193,22091,21999,21883,21798,21673,21645,21555,21495,21351,21335,21325,21128,21025,20918,20969,20827,20756,20658,20575,20631,20660,20526,20543,20520,20487,20439,20616,20652,20627,20735,20709,20750,20830,20749,20819,20904,20972,21084,21195,21308,21388,21666,21677,21729,21864,22053,22242,22231,22406,22514,22657,22803,22929,23060,23293,23485,23583,23668,23852,23978,24199,24196,24544,24720,24851,25067,25204,25157,25238,25417,25621,25774,25985,26142,26345,26538,26734,26888,27079,27087,27084,27252,27426,27674,27911,28148,28327,28513,28666,28858,29035,29069,28964,29066,29253,29410,29613,29738,29864,29988,30085,30225,30248,30249,30222,30311,30321,30305,30280,30252,30284,30287,30279,30228,30225,30251,30256,30267,30326,30341,30338,30303,30260,30235,30197,30076,30022,30174,30182,30099,30045,29911,29819,29672,29576,29447,29255,29136,28987,28919,28896,28773,28646,28459,28289,28146,27958,27785,27553,27359,27206,27125,26915,26767,26579,26382,26224,26071,25908,25726,25585,25460,25347
Day-ahead net forecast,22265,20765,20765,20765,20765,20765,20765,20765,20765,20765,20765,20765,20765,19513,19513,19513,19513,19513,19513,19513,19513,19513,19513,19513,19513,18562,18562,18562,18562,18562,18562,18562,18562,18562,18562,18562,18562,18265,18265,18265,18265,18265,18265,18265,18265,18265,18265,18265,18265,18580,18580,18580,18580,18580,18580,18580,18580,18580,18580,18580,18580,19248,19248,19248,19248,19248,19248,19248,19248,19248,19248,19248,19248,16208,16208,16208,16208,16208,16208,16208,16208,16208,16208,16208,16208,8712,8712,8712,8712,8712,8712,8712,8712,8712,8712,8712,8712,3445,3445,3445,3445,3445,3445,3445,3445,3445,3445,3445,3445,994,994,994,994,994,994,994,994,994,994,994,994,-624,-624,-624,-624,-624,-624,-624,-624,-624,-624,-624,-624,-1578,-1578,-1578,-1578,-1578,-1578,-1578,-1578,-1578,-1578,-1578,-1578,-1651,-1651,-1651,-1651,-1651,-1651,-1651,-1651,-1651,-1651,-1651,-1651,-752,-752,-752,-752,-752,-752,-752,-752,-752,-752,-752,-752,351,351,351,351,351,351,351,351,351,351,351,351,2375,2375,2375,2375,2375,2375,2375,2375,2375,2375,2375,2375,4623,4623,4623,4623,4623,4623,4623,4623,4623,4623,4623,4623,8573,8573,8573,8573,8573,8573,8573,8573,8573,8573,8573,8573,16291,16291,16291,16291,16291,16291,16291,16291,16291,16291,16291,16291,23890,23890,23890,23890,23890,23890,23890,23890,23890,23890,23890,23890,26324,26324,26324,26324,26324,26324,26324,26324,26324,26324,26324,26324,25688,25688,25688,25688,25688,25688,25688,25688,25688,25688,25688,25688,23758,23758,23758,23758,23758,23758,23758,23758,23758,23758,23758,23758,21836,21836,21836,21836,21836,21836,21836,21836,21836,21836,21836,21836
Demand response event,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net demand,20792,20530,20988,20877,20742,20680,20526,20376,20259,20134,20036,19939,19865,19773,19852,19800,19667,19551,19446,19352,19281,19224,19121,19017,18866,18837,18732,18711,18649,18603,18548,18423,18324,18258,18173,18083,18008,18019,18003,17995,17952,17893,17805,17735,17739,17702,17694,17701,17691,17668,17774,17796,17756,17776,17808,17819,17853,17882,17887,17898,17964,18091,18347,18549,18662,18795,18926,19007,19105,19142,19041,18861,18670,18365,18144,17684,17180,16653,16060,15437,14746,13989,13228,12455,11659,10602,10093,9579,8865,8278,7553,6699,6162,5852,5375,5161,4989,4718,4436,4274,4122,3838,3622,3466,3381,3248,3182,2660,2421,2247,2169,2064,1892,1724,1616,1291,942,781,470,356,236,70,-98,-193,-440,-591,-742,-854,-981,-1063,-1179,-1286,-1419,-1509,-1766,-1884,-1861,-2041,-2233,-2294,-2211,-2381,-2463,-2485,-2551,-2413,-2317,-2367,-2509,-2463,-2534,-2294,-2052,-2145,-2276,-2264,-2238,-2340,-2291,-2308,-2261,-1982,-1868,-1797,-1689,-1704,-1742,-1699,-1482,-1115,-933,-862,-881,-951,-788,-823,-720,-481,-225,16,202,100,81,337,496,638,835,977,1321,1503,1565,1752,1964,2056,2001,2166,2319,2450,2614,2855,3044,3284,3647,3722,3904,4240,4444,4852,5191,5545,5835,6311,6780,7175,7643,8184,8837,9529,9855,10406,11117,12036,12948,13902,14880,15919,16831,17753,18681,19512,20148,20928,21580,22123,22546,23008,23370,23704,23946,24164,24318,24497,24592,24679,24800,24879,24902,24933,24879,24927,24928,24902,24896,25021,25275,25391,25371,25309,25189,25055,24938,24858,24671,24533,24381,24226,24319,24166,24082,23888,23802,23661,23536,23442,23310,23091,22918,22812,22679,22486,22380,22153,22043,21891,21756,21541,21362,21203,21046
Solar without hybrids,-61,-62,-63,-63,-63,-64,-63,-62,-62,-62,-62,-62,-62,-63,-63,-64,-64,-64,-63,-63,-63,-64,-63,-64,-64,-64,-64,-64,-64,-64,-64,-64,-64,-64,-64,-63,-63,-62,-62,-62,-61,-62,-62,-61,-61,-61,-61,-61,-62,-62,-62,-63,-63,-63,-63,-63,-63,-63,-63,-63,-62,-62,-62,-63,-62,-62,-57,-41,0,65,204,445,792,1240,1714,2308,3023,3742,4496,5286,6103,6934,7748,8691,9625,10595,11461,12227,13030,13848,14596,15369,15849,16218,16548,16850,16897,17357,17730,17927,18134,18294,18447,18478,18482,18581,18788,19121,19338,19567,19692,19741,19794,19913,20037,20131,20276,20342,20413,20482,20500,20600,20697,20714,20834,20903,20913,20945,20956,20976,20980,21012,21035,21096,21103,21146,21149,21085,21081,21028,21010,20996,21003,20945,20924,20894,20866,20831,20866,20883,20860,20533,20489,20595,20694,20679,20647,20646,20670,20618,20459,20301,20238,20198,20193,20248,20318,20396,20197,19961,19910,19989,20145,20262,20245,20348,20378,20296,20182,20084,20009,20312,20425,20390,20370,20351,20339,20309,20279,20256,20252,20163,20072,19935,19835,19801,19787,19683,19614,19534,19539,19494,19387,19454,19370,19108,18843,18638,18337,18198,18073,17841,17547,17229,16868,16464,15942,15194,14601,13982,13338,12566,11796,11040,10258,9405,8526,7704,6847,5942,5133,4373,3651,2997,2423,1920,1494,1144,878,643,489,385,309,261,250,237,225,224,225,226,227,229,231,232,137,-38,-65,-65,-65,-65,-65,-65,-64,-64,-64,-63,-62,-61,-61,-61,-62,-58,-58,-59,-58,-58,-58,-59,-59,-58,-59,-59,-59,-59,-60,-59,-58,-60
Wind without hybrids,4899,4909,4913,4915,4912,4918,4929,4911,4899,4873,4852,4816,4801,4808,4826,4828,4827,4862,4868,4838,4836,4812,4819,4842,4861,4791,4772,4726,4689,4662,4650,4660,4715,4751,4775,4797,4805,4821,4797,4772,4766,4783,4808,4831,4843,4816,4801,4775,4770,4812,4834,4838,4859,4867,4875,4879,4910,4902,4886,4910,4933,4941,4913,4861,4795,4731,4652,4592,4532,4466,4413,4356,4301,4256,4213,4186,4150,4098,4033,4027,4056,4081,4077,4096,4143,4119,4107,4090,4087,4064,4113,4162,4199,4185,4140,4127,4111,4098,4109,4077,4051,4058,4062,4044,4023,4002,3940,3916,3883,3854,3873,3856,3862,3838,3823,3845,3949,3924,3957,3976,3962,3889,3807,3803,3828,3891,3905,3914,3904,3890,3863,3904,3927,3963,4017,4047,4065,4106,4114,4128,4163,4187,4184,4180,4163,4101,4095,4101,4131,4116,4125,4119,4146,4166,4176,4226,4281,4323,4378,4357,4390,4390,4368,4390,4445,4491,4492,4576,4631,4673,4753,4769,4849,4845,4870,4882,4867,4871,4871,4844,4869,4833,4784,4727,4736,4750,4725,4665,4660,4707,4777,4883,4951,4992,5092,5155,5260,5367,5450,5465,5460,5433,5433,5519,5581,5587,5539,5496,5595,5655,5659,5650,5638,5698,5748,5769,5764,5836,5900,5936,5975,5968,5924,5820,5676,5561,5514,5441,5413,5399,5389,5410,5441,5479,5511,5493,5501,5509,5494,5449,5390,5362,5341,5310,5246,5226,5182,5169,5153,5094,5038,4981,4902,4841,4805,4779,4747,4719,4710,4731,4728,4720,4726,4715,4722,4724,4717,4709,4688,4678,4635,4590,4547,4452,4409,4390,4399,4400,4402,4397,4350,4350,4285,4301,4301,4311,4329,4374
