Net Demand 09/28/2025 ,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,00:00
Hour-ahead forecast,24106,24106,24106,24106,24015,24015,24015,23789,23789,23789,23435,23435,23435,23174,23174,23174,22903,22903,22903,22661,22661,22661,22418,22418,22418,22167,22167,22167,21920,21920,21920,21725,21725,21725,21569,21569,21569,21503,21503,21503,21404,21404,21404,21284,21284,21284,21170,21170,21170,21110,21110,21110,21062,21062,21062,21019,21019,21019,20994,20994,20994,21087,21087,21087,21119,21119,21119,21072,21072,21072,21006,21006,21006,21175,21175,21175,21298,21298,21298,21309,21309,21309,21173,21173,21173,21227,21227,21227,21286,21286,21286,21172,21172,21172,20991,20991,20991,21070,21070,21070,21301,21301,21301,21119,21119,21119,21103,21103,21103,20956,20956,20956,20930,20930,20930,20776,20776,20776,20524,20524,20524,20406,20406,20406,20162,20162,20162,19923,19923,19923,19808,19808,19808,19910,19910,19910,19715,19715,19715,19722,19722,19722,19849,19849,19849,19810,19810,19810,19802,19802,19802,19895,19895,19895,19959,19959,19959,20070,20070,20070,20170,20170,20170,20290,20290,20290,20560,20560,20560,20693,20693,20693,20950,20950,20950,21409,21409,21409,21697,21697,21697,22107,22107,22107,22549,22549,22549,23166,23166,23166,23571,23571,23571,23951,23951,23951,24623,24623,24623,25291,25291,25291,26026,26026,26026,26533,26533,26533,26950,26950,26950,27568,27568,27568,27870,27870,27870,28006,28006,28006,28051,28051,28051,28274,28274,28274,28407,28407,28407,28455,28455,28455,28451,28451,28451,28388,28388,28388,28084,28084,28084,27966,27966,27966,27786,27786,27786,27625,27625,27625,27475,27475,27475,27510,27510,27510,27333,27333,27333,27027,27027,27027,26634,26634,26634,26338,26338,26338,25999,25999,25999,25485,25485,25485,25003,25003,25003,24682,24682,24682,24329,24329,24329,23985,23985,23985,23682,23682,23682
Demand,23964,24216,24326,24227,24191,24105,23970,23889,23784,23676,23551,23438,23334,23291,23199,23128,23029,22912,22777,22687,22596,22515,22437,22348,22273,22212,22165,22165,22134,22069,22010,21961,21885,21833,21778,21718,21690,21640,21524,21471,21439,21403,21357,21306,21251,21226,21183,21177,21119,21111,21147,21138,21143,21085,21049,21063,21029,21016,21001,21007,20980,20911,20893,20839,20911,20911,20893,20901,20925,20938,20966,21004,21006,20997,21002,21059,21091,21156,21183,21223,21236,21246,21239,21221,21191,21228,21305,21330,21333,21321,21344,21377,21412,21356,21376,21270,21250,21545,21572,21485,21348,21445,21363,21407,21263,21199,21166,21121,21174,21239,21204,21027,20898,20829,20766,20690,20609,20660,20502,20372,20320,20432,20551,20467,20370,20391,20338,20229,20156,20170,20148,20090,20023,20332,20276,20172,20089,20072,20081,20019,19981,19963,19950,19977,19819,20001,19723,19594,19764,19618,19693,19709,19708,19712,19716,19671,19722,19976,19918,19854,19804,19924,20077,20068,20132,20231,20210,20381,20537,20462,20379,20568,20594,20666,20942,20912,21182,21134,21473,21661,21845,21890,22058,22238,22390,22591,22840,22991,23169,23272,23501,23630,23865,23811,23975,24242,24391,24683,24824,25082,25249,25454,25758,25901,26079,26153,26270,26510,26720,27009,27217,27286,27493,27681,27849,27947,28095,27890,27904,28027,28160,28233,28334,28368,28429,28344,28470,28529,28672,28431,28180,28225,28204,28202,28199,28139,28148,28133,28125,28051,27959,28146,28175,28131,28078,27988,27905,27842,27739,27660,27593,27502,27355,27469,27481,27383,27390,27293,27199,27079,26957,26797,26699,26573,26374,26315,26276,26155,25996,25858,25732,25534,25399,25231,25077,24964,24832,24769,24783,24701,24592,24420,24266,24092,23954,23790,23667,23581,23456
Day-ahead net forecast,22719,22023,22023,22023,22023,22023,22023,22023,22023,22023,22023,22023,22023,21137,21137,21137,21137,21137,21137,21137,21137,21137,21137,21137,21137,20248,20248,20248,20248,20248,20248,20248,20248,20248,20248,20248,20248,19722,19722,19722,19722,19722,19722,19722,19722,19722,19722,19722,19722,19639,19639,19639,19639,19639,19639,19639,19639,19639,19639,19639,19639,19824,19824,19824,19824,19824,19824,19824,19824,19824,19824,19824,19824,20103,20103,20103,20103,20103,20103,20103,20103,20103,20103,20103,20103,16371,16371,16371,16371,16371,16371,16371,16371,16371,16371,16371,16371,9106,9106,9106,9106,9106,9106,9106,9106,9106,9106,9106,9106,4219,4219,4219,4219,4219,4219,4219,4219,4219,4219,4219,4219,2316,2316,2316,2316,2316,2316,2316,2316,2316,2316,2316,2316,1392,1392,1392,1392,1392,1392,1392,1392,1392,1392,1392,1392,1363,1363,1363,1363,1363,1363,1363,1363,1363,1363,1363,1363,2211,2211,2211,2211,2211,2211,2211,2211,2211,2211,2211,2211,4027,4027,4027,4027,4027,4027,4027,4027,4027,4027,4027,4027,6778,6778,6778,6778,6778,6778,6778,6778,6778,6778,6778,6778,11459,11459,11459,11459,11459,11459,11459,11459,11459,11459,11459,11459,19906,19906,19906,19906,19906,19906,19906,19906,19906,19906,19906,19906,25948,25948,25948,25948,25948,25948,25948,25948,25948,25948,25948,25948,26811,26811,26811,26811,26811,26811,26811,26811,26811,26811,26811,26811,26144,26144,26144,26144,26144,26144,26144,26144,26144,26144,26144,26144,25468,25468,25468,25468,25468,25468,25468,25468,25468,25468,25468,25468,24232,24232,24232,24232,24232,24232,24232,24232,24232,24232,24232,24232,22925,22925,22925,22925,22925,22925,22925,22925,22925,22925,22925,22925
Demand response event,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net demand,22228,22326,22638,22626,22567,22563,22436,22322,22181,22056,21923,21790,21661,21592,21522,21474,21396,21314,21174,21124,21074,20970,20893,20854,20821,20777,20714,20700,20730,20711,20677,20680,20651,20625,20595,20552,20520,20521,20363,20333,20297,20281,20255,20211,20207,20147,20065,19983,19866,19779,19764,19758,19746,19689,19582,19564,19554,19598,19630,19639,19647,19582,19496,19423,19447,19476,19472,19439,19506,19549,19613,19681,19726,19690,19650,19673,19749,19851,19925,20019,20079,20110,20081,19940,19704,19510,19367,19078,18690,18074,17377,16669,16020,15196,14328,13374,12381,11656,10929,10165,9210,8629,7985,7453,7105,6582,6140,5751,5502,5381,5187,4921,4549,4288,4125,3913,3858,3849,3815,3769,3795,3835,3868,3741,3400,3194,3002,2815,2655,2531,2520,2458,2327,2373,2118,2007,1918,1979,2030,2095,2185,2221,2099,2186,2013,2083,1814,1678,1817,1705,1771,1736,1773,1765,1781,1722,1744,2156,2194,2118,2038,2100,2449,2385,2322,2331,2453,2522,2587,2384,2168,2385,2586,2755,3195,3232,3390,3641,3856,4153,4575,4929,5191,5550,5846,6243,6462,6529,6618,6981,7459,7721,8167,8551,9015,9206,9428,9942,10624,11117,11483,12046,12472,13032,13604,14239,14874,15580,16425,17336,18291,19269,20149,21062,21969,22837,23623,24285,24703,25276,25809,26185,26498,26658,26851,26931,26991,27029,27133,27057,26618,26599,26554,26499,26456,26384,26359,26356,26335,26300,26226,26396,26599,26631,26619,26553,26478,26442,26411,26415,26361,26352,26212,26267,26380,26369,26399,26418,26356,26253,26186,26061,25948,25825,25662,25518,25511,25463,25353,25192,25094,24909,24761,24615,24499,24353,24273,24160,24203,24176,24090,23960,23869,23668,23576,23400,23303,23209,23125
Solar without hybrids,-52,-52,-53,-54,-54,-53,-53,-53,-54,-54,-54,-54,-54,-53,-53,-53,-53,-53,-53,-53,-53,-53,-54,-55,-54,-54,-54,-54,-54,-55,-54,-55,-55,-55,-55,-55,-54,-54,-54,-54,-55,-54,-54,-54,-54,-54,-54,-54,-54,-54,-54,-54,-54,-54,-54,-53,-53,-52,-53,-53,-53,-54,-54,-54,-54,-54,-54,-54,-54,-54,-54,-54,-55,-55,-55,-54,-55,-56,-54,-51,-42,-7,50,177,418,651,936,1336,1837,2518,3326,4117,4891,5737,6671,7732,8824,9805,10815,11679,12416,13223,13843,14393,14738,15171,15596,15953,16268,16546,16781,17017,17235,17398,17546,17623,17600,17532,17512,17475,17408,17451,17576,17713,17907,18099,18239,18318,18368,18444,18496,18525,18585,18847,19036,19188,19226,19157,19175,19134,19021,19007,19084,19083,19055,19225,19224,19187,19120,19131,19113,19098,19075,19068,19016,18946,18905,18669,18621,18631,18729,18660,18525,18594,18739,18763,18642,18409,18555,18785,18764,18726,18573,18441,18351,18411,18366,18222,18126,18103,17785,17486,17286,17183,16955,16820,16948,17116,17171,16909,16670,16483,16233,15740,15442,15444,15174,14902,14354,13978,13721,13271,13012,12681,12292,11740,11149,10567,9833,9163,8304,7419,6611,5784,4958,4125,3318,2565,1953,1449,1022,706,486,342,206,43,9,-29,-58,-62,-59,-60,-57,-55,-54,-53,-53,-62,-62,-62,-62,-62,-62,-61,-61,-61,-60,-59,-58,-58,-57,-57,-57,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,-54,-53,-53,-53,-53,-53,-53,-53,-53,-53,-53,-52,-52,-53,-52,-53,-53,-53,-54,-53,-53,-53,-53
Wind without hybrids,1838,1792,1742,1694,1669,1645,1625,1652,1692,1714,1734,1749,1765,1762,1749,1727,1723,1709,1684,1644,1617,1623,1621,1576,1519,1510,1516,1507,1473,1436,1398,1355,1304,1274,1259,1232,1222,1223,1226,1204,1201,1187,1169,1160,1124,1144,1181,1254,1329,1375,1428,1434,1444,1473,1523,1548,1526,1479,1426,1411,1413,1413,1440,1475,1486,1487,1476,1507,1465,1423,1384,1354,1354,1362,1386,1411,1383,1340,1297,1233,1187,1156,1133,1136,1118,1107,1087,1055,1027,1010,984,976,976,994,982,970,973,974,962,958,962,975,990,996,980,963,951,937,916,870,839,796,786,811,844,871,872,882,887,879,866,861,860,853,861,875,887,901,909,912,906,892,859,840,839,818,751,680,617,567,532,512,503,495,476,474,484,495,511,548,579,598,602,617,658,723,768,791,821,835,831,836,826,818,823,840,868,909,955,939,972,1013,1023,1013,964,924,914,933,932,935,952,982,986,1004,995,980,973,963,937,925,945,975,975,971,996,1018,1035,1060,1061,1101,1125,1149,1145,1133,1102,1085,1080,1126,1195,1222,1244,1262,1259,1277,1306,1315,1337,1331,1329,1350,1365,1335,1338,1353,1350,1371,1424,1493,1548,1586,1628,1678,1715,1759,1784,1821,1842,1838,1838,1846,1807,1717,1642,1575,1532,1516,1523,1481,1408,1331,1299,1251,1229,1200,1166,1086,1019,979,931,913,875,843,843,852,859,856,828,794,776,763,747,743,736,730,709,685,674,658,638,611,595,567,539,510,498,502,476,452
